BATTING RECORDS,,,
,,,
Top Ten Runs,,,
Rank,Runs,Name,Year
1,138,Brian Humphries,2005-08
2,111,Brenden Lewis,2022-25
3,108,Marcus Giles,1994-96
4,100,Sean Bischofberger,1995-98
5,96,Brian Giles,1987-89
6,92,Josh Rose,2010-13
7,91,John Fenn,1988-90
8,90,Travis Taijeron,2005-07
9,85,Kyle Floquet,1998-00
10,84,Frank Carey,1983-85
,,,
Top Ten Hits,,,
Rank,Hits,Name,Year
1,182,Brian Humphries,2005-08
2,136,Jordan Verdon,2012-15
3,130,Robert Bostedt,2011-14
4,130,Daniel Starwalt,2009-12-01 00:00:00
5,127,Brenden Lewis,2022-25
6,126,Dylan Garcia,2008-10
7,121,Sean Bischofberger,1995-98
8,118,Travis Taijeron,2005-07
9,117,Marcus Giles,1994-96
10,117,Kyle Floquet,1998-00
,,,
Top Ten Singles,,,
Rank,Singles,Name,Year
1,127,Brian Humphries,2005-08
2,89,Sean Bischofberger,1995-98
3,88,Brenden Lewis,2022-25
4,82,Johnny Coit,2001-03
5,82,John Fenn,1988-90
6,80,Eric Nelson,1991-94
7,76,Kyle Floquet,1999-00
8,76,Camden Sos,2020-23
9,75,Travis Taijeron,2005-07
10,74,Derek Ayres,1995-98
,,,
Top Ten Doubles,,,
Rank,Doubles,Name,Year
1,42,Brian Humphries,2005-08
2,39,Josh Rose,2010-13
3,36,Daniel Starwalt,2009-12-01 00:00:00
4,30,Dylan Garcia,2008-2010
5,29,Eric Nelson,1991-94
6,27,Travis Taijeron,2005-07
7,25,Brandon Thomas,1995-97
8,25,Jayson Rose,2011-14
9,24,Marcus Giles,1994-96
10,24,Sean Ross,2015-17
,,,
Top Ten Triples,,,
Rank,Triples,Name,Year
1,9,Don Schuldies,nan
2,7,Brian Humphries,2005-08
3,6,Johnny Coit,2001-03
4,6,Kevin James,2002-04
5,5,Kent Paine,1977-78
6,5,Frank Carey,1983-85
7,5,Donnie Carroll,1985-87
8,5,Mike Smith,1991-92
9,5,Marcus Giles,1994-96
10,5,Tommy Entrekin,2023-25
,,,
Top Ten Home Runs,,,
Rank,Home Runs,Name,Year
1,33,Travis Taijeron,2005-07
2,24,Marcus Giles,1994-96
3,23,Mark McRoberts,1998-00
4,19,Damon Hansel,1984-85
5,17,Brian Giles,1987-89
6,16,Derek Ayres,1995-98
7,16,Brenden Lewis,2022-25
8,16,Grant MacArthur,2019-22
9,14,Donnie Carroll,1985-87
10,14,Kevin James,2002-04
,,,
Top Ten RBI,,,
Rank,RBI,Name,Year
1,116,Travis Taijeron,2005-07
2,103,Derek Ayres,1995-98
3,103,Kevin James,2002-04
4,85,Josh Rose,2010-13
5,84,Austin Coleman,2005-07
6,81,Marcus Giles,1994-96
7,79,Brian Humphries,2005-08
8,78,Daniel Starwalt,2009-12-01 00:00:00
9,78,Eric Nelson,1991-94
10,77,Brenden Lewis,2022-25
,,,
Top Ten Total Bases,,,
Rank,Total Bases,Name,Year
1,256,Brian Humphries,2005-08
2,250,Travis Taijeron,2005-07
3,223,Marcus Giles,1994-96
4,200,Brenden Lewis,2022-25
5,187,Derek Ayres,1995-98
6,181,Brian Giles,1987-89
7,181,Kevin James,2002-04
8,174,Sean Bischofberger,1995-98
9,168,Donnie Carroll,1985-87
10,164,John Fenn,1988-90
,,,
Top Ten Base On Balls,,,
Rank,Base On Balls,Name,Year
1,80,Marcus Giles,1994-96
2,77,Frank Carey,1983-85
3,69,Grant MacArthur,2019-22
4,61,Chad Burchett,1991-93
5,60,Sean Bischofberger,1995-98
